fat_id,path,start,end,size,class,note
145,/battle/btmap_004_mdl.bin,6267392,6320944,53552,container,"in-house EZBIND"
146,/battle/btmap_004_tex.bin,6321152,6363528,42376,container,"in-house EZBIND"
147,/battle/btmap_005_mdl.bin,6363648,6407096,43448,container,"in-house EZBIND"
148,/battle/btmap_005_tex.bin,6407168,6439580,32412,container,"in-house EZBIND"
149,/battle/btmap_006_mdl.bin,6439936,6485544,45608,container,"in-house EZBIND"
150,/battle/btmap_006_tex.bin,6486016,6505896,19880,container,"in-house EZBIND"
151,/battle/btmap_007_mdl.bin,6505984,6571512,65528,container,"in-house EZBIND"
152,/battle/btmap_007_tex.bin,6571520,6616880,45360,container,"in-house EZBIND"
153,/battle/btmap_008_mdl.bin,6617088,6674488,57400,container,"in-house EZBIND"
154,/battle/btmap_008_tex.bin,6674944,6703104,28160,container,"in-house EZBIND"
155,/battle/btmap_009_mdl.bin,6703104,6765260,62156,container,"in-house EZBIND"
156,/battle/btmap_009_tex.bin,6765568,6787888,22320,container,"in-house EZBIND"
157,/battle/btmap_010_mdl.bin,6788096,6855684,67588,container,"in-house EZBIND"
158,/battle/btmap_010_tex.bin,6856192,6888424,32232,container,"in-house EZBIND"
159,/battle/btmap_011_mdl.bin,6888448,6918504,30056,container,"in-house EZBIND"
160,/battle/btmap_011_tex.bin,6918656,6935396,16740,container,"in-house EZBIND"
161,/battle/btmap_012_mdl.bin,6935552,7005468,69916,container,"in-house EZBIND"
162,/battle/btmap_012_tex.bin,7005696,7027668,21972,container,"in-house EZBIND"
163,/battle/btmap_013_mdl.bin,7027712,7089724,62012,container,"in-house EZBIND"
164,/battle/btmap_013_tex.bin,7090176,7138912,48736,container,"in-house EZBIND"
165,/battle/btmap_014_mdl.bin,7139328,7207956,68628,container,"in-house EZBIND"
166,/battle/btmap_014_tex.bin,7208448,7255696,47248,container,"in-house EZBIND"
167,/battle/btmap_015_mdl.bin,7256064,7320536,64472,container,"in-house EZBIND"
168,/battle/btmap_015_tex.bin,7320576,7373188,52612,container,"in-house EZBIND"
169,/battle/btmap_016_mdl.bin,7373312,7434336,61024,container,"in-house EZBIND"
170,/battle/btmap_016_tex.bin,7434752,7477720,42968,container,"in-house EZBIND"
171,/battle/btmap_017_mdl.bin,7477760,7547684,69924,container,"in-house EZBIND"
172,/battle/btmap_017_tex.bin,7547904,7569984,22080,container,"in-house EZBIND"
173,/battle/btmap_018_mdl.bin,7570432,7634972,64540,container,"in-house EZBIND"
174,/battle/btmap_018_tex.bin,7635456,7682096,46640,container,"in-house EZBIND"
175,/battle/btmap_019_mdl.bin,7682560,7744932,62372,container,"in-house EZBIND"
176,/battle/btmap_019_tex.bin,7745024,7760372,15348,container,"in-house EZBIND"
